18;Услуги печатные и услуги по копированию звуко- и видеозаписей, а также программных средств;
69.10.14;"Услуги по юридическим консультациям и представительству в судебных процедурах в связи с гражданским правом
Эта группировка включает:
- консультации, представительство и связанные с этим услуги в судебных и квазисудебных процедурах в связи с гражданским правом
";
69.10.14.000;Услуги по юридическим консультациям и представительству в судебных процедурах в связи с гражданским правом;
69.10.15;"Услуги юридические, касающиеся патентов, авторских прав и прочих прав интеллектуальной собственности
Эта группировка включает:
- составление и удостоверение документов и связанные с этим юридические услуги, касающиеся патентов, авторских прав и прочих прав интеллектуальной собственности
Эта группировка не включает:
- услуги по предоставлению лицензий на право использования интеллектуальной собственности и аналогичных продуктов, см. 77.40.1
";
69.10.15.000;Услуги юридические, касающиеся патентов, авторских прав и прочих прав интеллектуальной собственности;
69.10.16;"Услуги нотариусов
Эта группировка включает:
- составление и хранение подлинных документов, обладающих законной и доказательной силой
Данные услуги предоставляются в таких областях, как семейное право (брачные контракты), наследственное право и завещания, передача недвижимого имущества, право, регулирующее деятельность компаний и т.д.
";
69.10.16.000;Услуги нотариусов;
69.10.17;"Услуги арбитража и примирения
Эта группировка включает:
- услуги по оказанию помощи через арбитраж или посредничество для разрешения споров между трудящимися и администрацией, между предприятиями или между частными лицами
Эта группировка не включает:
- услуги по представительству от имени одной из сторон в споре, см. 69.10.11 - 69.10.14
";
69.10.17.000;Услуги арбитража и примирения;
69.10.18;"Услуги юридические, связанные с аукционами
Эта группировка включает:
- юридические услуги, связанные с продажей имущества на аукционах
Эта группировка не включает:
- услуги по продаже на аукционах, кроме таких услуг, связанных с правовыми процедурами, см. 82.99.19
";
69.10.18.000;Услуги юридические, связанные с аукционами;
69.10.19;"Услуги юридические прочие
Эта группировка включает:
- услуги по хранению документов в качестве третьего лица и урегулированию имущественных споров;
- консультации клиентов, связанные с их законными правами и обязанностями;
- прочие правовые услуги, не включенные в другие группировки
";
69.10.19.000;Услуги юридические прочие;
69.2;"Услуги в области бухгалтерского учета; по проведению финансового аудита; по налоговому консультированию";
69.20;"Услуги в области бухгалтерского учета; по проведению финансового аудита; по налоговому консультированию";
69.20.1;Услуги по проведению финансового аудита;
69.20.10;"Услуги по проведению финансового аудита
Эта группировка включает:
- услуги по проведению независимой проверки бухгалтерской (финансовой) отчетности в целях выражения мнения о достоверности такой отчетности
Эта группировка не включает:
- услуги по ведению бухгалтерского учета, включая составление бухгалтерской (финансовой) отчетности, см. 69.20.21;
- аудиторскую проверку управления, см. 70.22.11
";
69.20.10.000;Услуги по проведению финансового аудита;
69.20.2;"Услуги в области бухгалтерского учета
Эта группировка включает:
- услуги по ведению (восстановлению) бухгалтерского учета, включая составление бухгалтерской (финансовой) отчетности;
- бухгалтерское консультирование;
- услуги по принятию, своду и консолидации бухгалтерской отчетности;
- услуги по расчету и начислению заработной платы;
- услуги в области бухгалтерского (финансового) учета прочие
Эта группировка не включает:
- услуги по обработке данных, см. 63.11.11
";
69.20.21;"Услуги по ведению (восстановлению) бухгалтерского учета
Эта группировка включает:
- услуги по ведению (восстановлению) бухгалтерского учета, включая составление бухгалтерской (финансовой) отчетности, заключающейся в формировании документированной систематизированной информации об объектах бухгалтерского учета, и составлению на ее основе бухгалтерской (финансовой) отчетности
Эта группировка не включает:
- услуги по обработке данных, см. 63.11.11
";
69.20.21.000;Услуги по ведению (восстановлению) бухгалтерского учета;
69.20.22;"Услуги по бухгалтерскому консультированию
Эта группировка включает:
- услуги по консультации вопросов по организации и (или) ведению бухгалтерского учета, включая вопросы по составлению и представлению бухгалтерской (финансовой) отчетности на основе информации, предоставленной клиентом;
- услуги по консультации вопросов организации внутреннего контроля
Достоверность составляемых отчетов при этом не гарантируется
Эта группировка не включает:
- услуги по обработке данных, см. 63.11.11;
- услуги по составлению налоговых расчетов и деклараций, предоставляемые в качестве отдельной услуги, см. 69.20.3
";
69.20.22.000;Услуги по бухгалтерскому консультированию;
69.20.23;"Услуги по принятию, своду и консолидации бухгалтерской (финансовой) отчетности
Эта группировка включает:
- услуги по принятию бухгалтерской (финансовой) отчетности от подведомственных учреждений клиента;
- услуги бухгалтерского учета по составлению на основе отчетности подведомственных учреждений клиента сводной и консолидированной бухгалтерской (финансовой) отчетности
Эта группировка не включает:
- услуги по ведению (восстановлению) бухгалтерского учета, см. 69.20.21;
- услуги по обработке данных, см. 63.11.11;
- услуги по заработной плате, в том числе расчет заработной платы и формирование соответствующих регистров, см. 69.20.24;
- услуги в области бухгалтерского учета, относящиеся к составлению налоговых расчетов и деклараций, см. 69.20.3;
- услуги по сбору платежей по счетам, см. 82.91.12
";
69.20.23.000;Услуги по принятию, своду и консолидации бухгалтерской (финансовой) отчетности;
69.20.24;"Услуги по расчету и начислению заработной платы
Эта группировка включает:
- услуги по расчету и начислению заработной платы, формирование первичных документов по учету заработной платы и ее выплатам, включая расчет обязательных налогов с доходов физических лиц и платежей во внебюджетные фонды, с формированием необходимых налоговых и иных расчетов (документов)
Эта группировка не включает:
- услуги в области налогового консультирования, относящиеся к составлению налоговых расчетов и деклараций, см. 69.20.3
";
69.20.24.000;Услуги по расчету и начислению заработной платы;
69.20.29;"Услуги в области бухгалтерского учета прочие
Эта группировка включает:
- услуги по организации внутреннего контроля, учетной политике экономического субъекта и иных услуг в области бухгалтерского учета
Эта группировка не включает:
- услуги по ведению (восстановлению) бухгалтерского учета, см. 69.20.21
";
69.20.29.000;Услуги в области бухгалтерского учета прочие;
69.20.3;"Услуги в области налогового консультирования
Эта группировка включает:
- налоговое консультирование;
- представление клиентов в налоговых органах, в том числе подготовка налоговой документации
";
69.20.31;"Услуги по налоговому консультированию и подготовка налоговой документации для юридических лиц
Эта группировка включает:
- консультирование по налогообложению юридических лиц;
- представление юридических лиц в налоговых органах, в том числе подготовка налоговой документации для юридических лиц
";
69.20.31.000;Услуги по налоговому консультированию и подготовка налоговой документации для юридических лиц;
69.20.32;"Услуги по налоговому консультированию и подготовка налоговой документации для физических лиц
Эта группировка включает:
- консультирование по налогообложению физических лиц;
- представление физических лиц в налоговых органах, в том числе подготовка налоговой документации по налогам физических лиц
";
69.20.32.000;Услуги по налоговому консультированию и подготовка налоговой документации для физических лиц;
69.20.4;Услуги, связанные с неплатежеспособностью и взысканием задолженности;
69.20.40;"Услуги, связанные с неплатежеспособностью и взысканием задолженности
Эта группировка включает:
- консультации и помощь для руководства и/или кредиторов неплатежеспособного предприятия и/или принятие мер в качестве ликвидатора или управляющего имуществом неплатежеспособного предприятия
";
69.20.40.000;Услуги, связанные с неплатежеспособностью и взысканием задолженности;
70.22;Услуги консультативные в области управления предприятием;
70.22.1;Услуги консультативные по вопросам управления деятельностью предприятия;
70.22.11;"Услуги консультативные по вопросам стратегического управления

Эта группировка включает:

- услуги по оказанию консультативной, управленческой и оперативной помощи, касающейся стратегии предпринимательства и общего планирования, формирования структуры и контроля организации

Более конкретно общие мероприятия по консультациям в области управления могут быть связаны с одним видом или совокупностью следующих видов услуг: разработкой политики; определением организационной структуры (системы принятия решений), которая наиболее эффективно соответствовала бы целям организации; юридическим оформлением; стратегическими бизнес-планами; консультативными услугами по вопросам развития хозяйственной деятельности и реструктуризации, таким как слияния, приобретения, совместные предприятия, стратегические союзы, диверсификация, приватизация; выбором системы управленческой информации; подготовкой управленческих докладов и контроля; планами изменения предпринимательской деятельности; ревизиями; управления разработкой программ повышения прибыльности; прочими вопросами, предоставляющими особый интерес для высшего управленческого звена организации

Эта группировка не включает:

- услуги по юридическим консультациям и представительству, см. 69.10.1;

- услуги советников и посредников, организующих слияния и приобретения, см. 66.19.21";
70.22.11.000;Услуги консультативные по вопросам стратегического управления;
70.22.12;"Услуги консультативные по вопросам финансового управления (кроме вопросов корпоративного налогообложения)

Эта группировка включает:

- услуги по оказанию консультативной, управленческой и оперативной помощи, касающейся решений финансового характера, таких как: управление оборотным капиталом и ликвидностью, определение соответствующей структуры капитала, анализ предлагаемых капиталовложений, управление активами, разработка систем отчетности и бюджета, а также бюджетного контроля, финансовые консультативные услуги, связанные со слияниями, приобретениями и т.д., такие как рекомендации относительно методов оценки, методов оплаты, методов контроля, международных финансов

Эта группировка не включает:

- услуги по проектированию и разработке компьютерного программного обеспечения для систем бухгалтерского учета, см. 62.01.1;

- брокерские операции, связанные с ценными бумагами, см. 66.12.11;

- услуги по управлению портфелем и фондами, см. 66.30.11;

- услуги в области составления счетов, бухгалтерского учета и финансовой ревизии, см. 69.20";
70.22.12.000;Услуги консультативные по вопросам финансового управления (кроме вопросов корпоративного налогообложения);
70.22.13;"Услуги консультативные по вопросам управления маркетингом

Эта группировка включает:

- услуги по оказанию консультативной, управленческой и оперативной помощи, касающейся стратегии организации в областях маркетинга и маркетинговых операций

Консультации по вопросам управления маркетингом могут быть связаны с одним видом или совокупностью следующих видов услуг: анализом и разработкой стратегии маркетинга, разработкой программ обслуживания потребителей, ценообразования, каналов рекламы и распространения, подготовкой управленческого состава и кадров для сбыта продукции, организацией каналов маркетинга (реализация оптовым продавцам или непосредственно розничным продавцам, прямая пересылка по почте, предоставление специальных льгот и т.д.), дизайном упаковки и прочими вопросами, связанными со стратегией маркетинга и операциями организации

Эта группировка не включает:

- услуги по связи с общественностью и коммуникации, см. 70.21.10;

- услуги в области рекламы, см. 73.11";
70.22.13.000;Услуги консультативные по вопросам управления маркетингом;
70.22.14;"Услуги консультативные по вопросам управления трудовыми ресурсами

Эта группировка включает:

- услуги по оказанию консультативной, управленческой и оперативной помощи в областях стратегии, политики, практики и процедур организации, связанных с ее трудовыми ресурсами

Консультации по вопросам трудовых ресурсов могут быть связаны с одним или несколькими из следующих вопросов: наем персонала, заработная плата, гарантии и компенсации, проверка и оценка работы персонала, организационное развитие (улучшение взаимодействия в группах и между ними); обучение сотрудников и удовлетворение их потребностей; развитие процедуры по трудоустройству уволенных и планы помощи сотрудникам; планирование преемственности, соблюдение правительственных нормативных требований в таких областях, как здоровье, безопасность, заработная плата рабочей силы и равенство в трудоустройстве, отношения между рабочей силой и руководством, ревизии трудовых ресурсов

Эта группировка не включает:

- консультативные услуги по трудоустройству или поиску руководящего персонала, см. 78.10.1;

- консультативные услуги в области образования, см. 85.60.10";
70.22.14.000;Услуги консультативные по вопросам управления трудовыми ресурсами;
70.22.15;"Услуги консультативные по вопросам управления производством

Эта группировка включает:

- совершенствование систем и процедур совершенствование административной работы и обслуживания, такое как: планировка офиса, планирование рабочего процесса и соблюдение трудовых стандартов, автоматизация работы отделов, например выбор и установка автоматизированных систем, разработка продуктов, контроль качества и управление качеством, безопасность, охрана и защита на предприятии

Эта группировка не включает:

- консультативные услуги по вопросам цепей поставок, см. 70.22.16;

- инженерные консультативные услуги и услуги по планированию размещения оборудования и проектированию производственных процессов, см. 71.12.17;

- услуги, предоставляемые агрономами и экономистами в области сельского хозяйства, см. 74.90.19";
70.22.15.000;Услуги консультативные по вопросам управления производством;
70.22.16;"Услуги консультативные по вопросам управления цепями поставок и прочие консультативные услуги по вопросам управления

Эта группировка включает:

- консультативные услуги по вопросам управления интегрированными цепями поставок

Консультации по вопросам управления интегрированными цепями поставок - это комплексный продукт, включающий услуги по вопросам управления материально-техническим снабжением, складирования и хранения и дистрибуции, консультативные услуги по вопросам управления логистикой, такие как: консультации по вопросам логистики, связанным с управлением материально-техническим снабжением, т.е. слежением за наличествующим материально-техническим снабжением для определения наиболее эффективных требований материально-технического снабжения для клиента; консультации по вопросам логистики, связанным с дистрибуцией и транспортировкой, включая процессы, используемые клиентом для хранения, перегрузки и перемещения товаров в пределах организации, для доставки товаров от клиента потребителям; консультации по вопросам логистики, связанным со складированием и хранением, включая процессы получения, хранения и выдачи предмета; консультации по вопросам логистики, связанным с техническим обслуживанием; прочие консультативные услуги по вопросам управления, не включенные в другие группировки

Данная группировка включает предоставление комплексных услуг, совмещающих услуги, требующие интенсивного использования информационных технологий, с рабочей силой (неквалифицированной или квалифицированной, в зависимости от решения), оборудованием и помещениями для поддержки, размещения и управления бизнес-процессами для клиента

Эта группировка не включает:

- консультативные услуги в области архитектуры, см. 71.11.24;

- инженерные консультативные услуги, см. 71.12.11;

- консультативные услуги по вопросам защиты окружающей среды, см. 74.90.13;

- прочие научные и технические консультативные услуги, не включенные в другие группировки, см. 74.90.19";
70.22.16.000;Услуги консультативные по вопросам управления цепями поставок и прочие консультативные услуги по вопросам управления;
