18;Услуги печатные и услуги по копированию звуко- и видеозаписей, а также программных средств
26.51.31.000;Весы чувствительностью 0,05 г или выше
26.51.32;Столы, машины чертежные и прочие инструменты для черчения, разметки или математических расчетов
26.51.32.110;Столы чертежные
26.51.32.120;Машины чертежные
26.51.32.190;Инструменты для черчения, разметки или математических расчетов прочие
26.51.33;Приборы для измерения линейных размеров ручные (включая микрометры и штангенциркули), не включенные в другие группировки
26.51.33.110;Калибры
26.51.33.120;Штангенинструмент
26.51.33.121;Штангенциркули
26.51.33.122;Штангенрейсмасы
26.51.33.123;Штангенглубиномеры
26.51.33.129;Штангенинструмент прочий
26.51.33.130;Инструмент микрометрический (микрометры)
26.51.33.131;Микрометры
26.51.33.132;Вставки к микрометрам
26.51.33.133;Глубиномеры микрометрические
26.51.33.134;Нутромеры микрометрические
26.51.33.135;Стойки универсальные для микрометров
26.51.33.136;Головки микрометрические
26.51.33.140;Инструмент для контроля прямолинейности, плоскостности и перпендикулярности
26.51.33.141;Линейки
26.51.33.142;Плиты поверочные и разметочные
26.51.33.143;Угольники поверочные
26.51.33.144;Призмы поверочные и разметочные
26.51.33.190;Инструмент измерительный прочий
26.51.33.191;Шаблоны
26.51.33.192;Щупы
26.51.33.199;Инструмент измерительный прочий, не включенный в другие группировки
26.51.4;Приборы для измерения электрических величин или ионизирующих излучений
26.51.41;Приборы и аппаратура для измерения или обнаружения ионизирующих излучений
26.51.41.110;Приборы, установки, системы дозиметрические
26.51.41.120;Приборы, установки, системы радиометрические
26.51.41.130;Приборы, установки, системы спектрометрические
26.51.41.140;Приборы, установки, системы комбинированные
26.51.41.150;Приборы радиоизотопные
26.51.41.151;Приборы радиоизотопные для измерения и контроля безразмерных величин, линейных размеров и углов, применяемые в области использования атомной энергии
26.51.41.152;Приборы радиоизотопные для измерения и контроля механических величин (динамика и кинематика), применяемые в области использования атомной энергии
26.51.41.153;Приборы радиоизотопные для измерения и контроля физических величин (молекулярная физика, теплота, оптика, электричество, магнетизм), применяемые в области использования атомной энергии
26.51.41.154;Приборы радиоизотопные для измерения и контроля физико-химических величин, применяемые в области использования атомной энергии
26.51.41.155;Приборы радиоизотопные для измерения и контроля химических параметров, применяемые в области использования атомной энергии
26.51.41.156;Приборы радиоизотопные универсальные, применяемые в области использования атомной энергии
26.51.41.157;Аппаратура радиоизотопная контрольно-поверочная, приспособления и принадлежности к аппаратам, применяемые в области использования атомной энергии
26.51.41.158;Приборы радиоизотопные, применяемые в области использования атомной энергии, прочие, не включенные в другие группировки
26.51.41.160;Детекторы ионизирующих излучений
26.51.41.161;Детекторы ионизационные, кроме газоразрядных счетчиков
26.51.41.162;Детекторы ионизирующих излучений радиолюминесцентные
26.51.41.163;Детекторы ионизирующих излучений Черенкова
26.51.41.164;Детекторы ионизирующих излучений химические
26.51.41.165;Детекторы ионизирующих излучений зарядовые
26.51.41.166;Детекторы ионизирующих излучений калориметрические
26.51.41.167;Детекторы ионизирующих излучений радиодефекционные
26.51.41.168;Детекторы ионизирующих излучений сцинтилляционные
26.51.41.169;Детекторы ионизирующих излучений прочие
26.51.41.170;Приборы ядерные аналитические
26.51.41.171;Приборы для активационного анализа
26.51.41.172;Приборы рентгенорадиометрические
26.51.41.173;Приборы для радиометрического анализа
26.51.41.174;Приборы для абсорбционного анализа
26.51.41.175;Приборы для анализа по рассеянному излучению
26.51.41.176;Установки масс-спектрометрические технологические
26.51.41.179;Приборы ядерные аналитические прочие, не включенные в другие группировки
26.51.41.190;Приборы и аппаратура для измерения или обнаружения ионизирующих излучений прочие
26.51.42;Осциллоскопы и осциллографы электронно-лучевые
26.51.42.110;Осциллоскопы электронно-лучевые
26.51.42.120;Осциллографы электронно-лучевые
26.51.43;Приборы для измерения электрических величин без записывающего устройства
26.51.43.110;Приборы цифровые электроизмерительные
26.51.43.111;Амперметры цифровые
26.51.43.112;Вольтметры цифровые
26.51.43.113;Омметры цифровые
26.51.43.114;Измерители отношений цифровые
26.51.43.115;Измерители частоты и временных интервалов цифровые
26.51.43.116;Приборы цифровые электроизмерительные комбинированные
26.51.43.117;Преобразователи измерительные унифицирующие аналого-цифровые и цифро-аналоговые
26.51.43.119;Приборы цифровые электроизмерительные прочие
26.51.43.120;Системы информационные электроизмерительные, комплексы измерительно-вычислительные и установки для измерения электрических и магнитных величин
26.51.43.130;Приборы электроизмерительные щитовые аналоговые
26.51.43.131;Амперметры щитовые аналоговые
26.51.43.132;Вольтметры щитовые аналоговые
26.51.43.133;Омметры щитовые аналоговые
26.51.43.134;Ваттметры и варметры щитовые аналоговые
26.51.43.135;Частотомеры, фазометры и синхроноскопы щитовые аналоговые
26.51.43.136;Приборы электроизмерительные щитовые аналоговые, комбинированные
26.51.43.137;Указатели, измерители и индикаторы щитовые аналоговые
26.51.43.139;Приборы электроизмерительные щитовые аналоговые прочие
26.51.43.140;Приборы электроизмерительные лабораторные аналоговые
26.51.43.141;Амперметры лабораторные аналоговые
26.51.43.142;Вольтметры лабораторные аналоговые
26.51.43.143;Омметры, фарадметры и генриметры лабораторные аналоговые
26.51.43.144;Ваттметры и варметры лабораторные аналоговые
26.51.43.145;Частотомеры, фазометры и синхроноскопы лабораторные аналоговые
26.51.43.146;Приборы электроизмерительные лабораторные аналоговые комбинированные
26.51.43.149;Приборы электроизмерительные лабораторные аналоговые прочие
26.51.43.150;Меры и приборы образцовые электрических и магнитных величин
26.51.44;Приборы и аппаратура для телекоммуникаций
26.51.44.000;Приборы и аппаратура для телекоммуникаций
26.51.45;Приборы и аппаратура для измерения или контроля электрических величин, не включенные в другие группировки
26.51.45.110;Приборы электроизмерительные регистрирующие
26.51.45.111;Амперметры самопишущие
26.51.45.112;Вольтметры самопишущие
26.51.45.113;Приборы с логометрической измерительной схемой (вторичные) самопишущие
26.51.45.114;Ваттметры и варметры самопишущие
26.51.45.115;Частотомеры, фазометры и синхроноскопы самопишущие
26.51.45.116;Приборы комбинированные электроизмерительные самопишущие
26.51.45.119;Приборы электроизмерительные регистрирующие прочие
26.51.45.190;Приборы и аппаратура для измерения или контроля электрических величин прочие, не включенные в другие группировки
26.51.5;Приборы для контроля прочих физических величин
26.51.51;Гидрометры, термометры, пирометры, барометры, гигрометры и психрометры
26.51.51.110;Термометры
26.51.51.120;Пирометры
26.51.51.130;Барометры
26.51.51.140;Гигрометры
26.51.51.150;Психрометры
26.51.52;Приборы для измерения или контроля расхода, уровня, давления или прочих переменных характеристик жидкостей и газов
26.51.52.110;Приборы для измерения или контроля расхода жидкостей и газов
26.51.52.120;Приборы для измерения или контроля уровня жидкостей и газов
26.51.52.130;Приборы для измерения или контроля давления жидкостей и газов
26.51.52.190;Приборы для измерения или контроля прочих переменных характеристик жидкостей и газов
26.51.53;Приборы и аппаратура для физического или химического анализа, не включенные в другие группировки
26.51.53.110;Газоанализаторы или дымоанализаторы
26.51.53.120;Анализаторы жидкостей
26.51.53.130;Анализаторы аэрозолей, твердых и сыпучих веществ
26.51.53.140;Приборы универсальные для определения состава и физико-химических свойств газов, жидкостей и твердых веществ
26.51.53.141;Анализаторы для диагностики in vitro
26.51.53.149;Приборы универсальные для определения состава и физико-химических свойств газов, жидкостей и твердых веществ прочие
26.51.53.150;Приборы и аппаратура для спектрального анализа, основанные на действии оптического излучения (ультрафиолетового, видимой части спектра, инфракрасного)
26.51.53.160;Экспонометры и прочие приборы для измерения или контроля количества тепла, звука или света
26.51.53.170;Приборы и установки радиационные диагностические
26.51.53.171;Дефектоскопы радиационные с получением информации из объема
26.51.53.172;Аппараты универсальные радиационные
26.51.53.180;Устройства, блоки и узлы электронно-физические функциональные ядерные и радиоизотопные
26.51.53.181;Устройства, блоки и узлы электронно-физические функциональные преобразовательные ядерные и радиоизотопные
26.51.53.182;Устройства, блоки и узлы электронно-физические функциональные обработки информации ядерные и радиоизотопные
26.51.53.183;Устройства, блоки и узлы электронно-физические функциональные управляющие и контроля ядерные и радиоизотопные
26.51.53.184;Устройства, блоки и узлы электронно-физические функциональные вспомогательные ядерные и радиоизотопные
26.51.53.185;Устройства, блоки и узлы детектирования для преобразования информации ядерные и радиоизотопные
26.51.53.186;Стенды, установки технологические для наладки аппаратуры ядерной и радиоизотопной
26.51.53.190;Приборы и аппаратура для физического или химического анализа прочие, не включенные в другие группировки
26.51.6;Инструменты и приборы прочие для измерения, контроля и испытаний
26.51.61;Микроскопы (кроме оптических микроскопов) и дифракционные аппараты
26.51.61.110;Микроскопы (кроме микроскопов оптических)
26.51.61.120;Аппараты дифракционные
26.51.62;Машины и приборы для испытания механических свойств материалов
26.51.62.110;Машины и приборы для испытания металлов
26.51.62.120;Машины и приборы для испытания строительных материалов
26.51.62.130;Машины и приборы для испытания текстильных материалов
26.51.62.140;Машины и приборы для испытания полимерных материалов
26.51.62.150;Машины и приборы для испытания бумаги и картона
26.51.62.160;Машины и приборы для испытания формовочных материалов и огнеупоров
26.51.62.190;Машины и приборы для испытания прочих материалов и конструкций
26.51.63;Счетчики потребления или производства газа, жидкости или электроэнергии
26.51.63.110;Счетчики производства или потребления газа
26.51.63.120;Счетчики производства или потребления жидкости
26.51.63.130;Счетчики производства или потребления электроэнергии
26.51.64;"Счетчики числа оборотов и счетчики количества продукции; таксометры, спидометры и тахометры; стробоскопы"
26.51.64.110;Счетчики числа оборотов
26.51.64.120;Счетчики количества продукции
26.51.64.130;Таксометры
26.51.64.140;Спидометры
26.51.64.150;Тахометры
26.51.64.160;Стробоскопы
26.51.64.170;Скоростемеры
26.51.64.190;Приборы для измерения параметров движения и количества прочие
26.51.65;Приборы и аппаратура для автоматического регулирования или управления, гидравлические или пневматические
26.51.65.000;Приборы и аппаратура для автоматического регулирования или управления, гидравлические или пневматические
26.51.66;Инструменты, приборы и машины для измерения или контроля, не включенные в другие группировки
26.51.66.110;Приборы для измерения усилий и деформаций
26.51.66.111;Динамометры общего назначения
26.51.66.112;Динамометры и силоизмерительные машины образцовые
26.51.66.113;Приборы для определения моментов
26.51.66.114;Приборы для измерения деформации
26.51.66.115;Датчики силы и деформации
26.51.66.119;Машины и приборы для измерения усилий и деформаций прочие
26.51.66.120;Приборы неразрушающего контроля качества материалов и изделий
26.51.66.121;Приборы акустического неразрушающего контроля
26.51.66.122;Приборы капиллярного неразрушающего контроля
26.51.66.123;Приборы магнитного неразрушающего контроля
26.51.66.124;Приборы оптического и теплового неразрушающего контроля
26.51.66.125;Приборы радиационного неразрушающего контроля
26.51.66.126;Приборы радиоволнового неразрушающего контроля
26.51.66.127;Приборы электромагнитного (вихревых токов) и электрического неразрушающего контроля
26.51.66.129;Приборы неразрушающего контроля прочие
26.51.66.130;Приборы виброметрии
26.51.66.131;Аппаратура общего назначения для определения основных параметров вибрационных процессов
26.51.66.132;Аппаратура для балансировки вращающихся частей машин в собственных подшипниках
26.51.66.133;Аппаратура контрольно-сигнальная для автоматической защиты агрегатов от опасных вибраций
26.51.66.134;Вибростенды для испытания изделий и тарировки виброизмерительных приборов и аппаратуры
26.51.66.135;Аппаратура виброизмерительная специальная
26.51.66.140;Средства автоматизации и механизации контроля размеров
26.51.66.190;Инструменты, приборы и машины для измерения или контроля прочие, не включенные в другие группировки
26.51.7;Термостаты, стабилизаторы давления и прочие приборы и аппаратура для автоматического регулирования или управления
26.51.70;Термостаты, стабилизаторы давления и прочие приборы и аппаратура для автоматического регулирования или управления
26.51.70.110;Термостаты
26.51.70.120;Стабилизаторы давления
26.51.70.190;Приборы автоматические регулирующие и контрольно-измерительные прочие
26.51.8;Части и принадлежности оборудования для измерения, испытаний и навигации
26.51.81;Части и принадлежности аппаратуры радиолокационной, радионавигационной и радиоаппаратуры дистанционного управления
26.51.81.000;Части и принадлежности аппаратуры радиолокационной, радионавигационной и радиоаппаратуры дистанционного управления
26.51.82;"Части и принадлежности изделий, отнесенных к группировкам 26.51.12, 26.51.32, 26.51.33, 26.51.4 и 26.51.5; микротомы; части, не включенные в другие группировки"
26.51.82.110;"Комплектующие (запасные части) дальномеров, теодолитов и тахиметров (тахеометров); геодезических, гидрографических, океанографических, гидрологических, метеорологических или геофизических инструментов и прочих приборов, не имеющие самостоятельных группировок"
26.51.82.120;Комплектующие (запасные части) чертежных столов, машин и прочих инструментов для черчения, разметки или математических расчетов, не имеющие самостоятельных группировок
26.51.82.130;Комплектующие (запасные части) ручных приборов для измерения линейных размеров, не имеющие самостоятельных группировок
26.51.82.140;Комплектующие (запасные части) приборов для измерения электрических величин и ионизирующих излучений, не имеющие самостоятельных группировок
26.51.82.150;Комплектующие (запасные части) машин и приборов для испытания механических свойств материалов, не имеющие самостоятельных группировок
26.51.82.160;Микротомы
26.51.82.170;Узлы функциональные и запасные части, инструменты и принадлежности приборов ядерных аналитических
26.51.82.180;Изделия комплектующие, запасные части, инструменты и принадлежности приборов и установок радиационных диагностических, аппаратуры ядерной и радиоизотопной
26.51.82.181;Принадлежности к аппаратам радиационным диагностическим
26.51.82.182;Изделия комплектующие, запасные части, инструменты и принадлежности приборов и установок радиационных диагностических
26.51.82.183;Запасные части измерительных приборов, устройства, блоки, узлы вспомогательные электронные и механические аппаратуры ядерной и радиоизотопной
26.51.82.190;Комплектующие (запасные части), не включенные в другие группировки, не имеющие самостоятельных группировок
26.51.83;Части и принадлежности микроскопов (кроме оптических микроскопов) и дифракционных аппаратов
26.51.83.110;Комплектующие (запасные части) микроскопов (кроме оптических), не имеющие самостоятельных группировок
26.51.83.120;Комплектующие (запасные части) дифракционной аппаратуры, не имеющие самостоятельных группировок
26.51.84;Части и принадлежности изделий, отнесенных к группировкам 26.51.63 и 26.51.64
26.51.84.110;Комплектующие (запасные части) счетчиков производства или потребления газа, жидкости или электроэнергии, не имеющие самостоятельных группировок
26.51.84.120;"Комплектующие (запасные части) счетчиков числа оборотов и счетчиков количества продукции; таксометров, спидометров и тахометров; стробоскопов, не имеющие самостоятельных группировок"
26.51.85;Части и принадлежности инструментов и аппаратов, отнесенных к группировкам 26.51.65, 26.51.66 и 26.51.70
26.51.85.110;Комплектующие (запасные части) приборов и устройств контрольно-измерительные автоматических, гидравлических и пневматических, не имеющие самостоятельных группировок
26.51.85.120;Комплектующие (запасные части) приборов, устройств и машин контрольно-измерительных, не включенные в другие группировки, не имеющие самостоятельных группировок
26.51.85.130;Комплектующие (запасные части) термостатов, стабилизаторов давления и приборов автоматических регулирующих и контрольно-измерительных прочих, не имеющие самостоятельных группировок
26.51.86;Части и принадлежности инструментов и аппаратов, отнесенных к группировкам 26.51.11 и 26.51.62
26.51.86.110;"Комплектующие (запасные части) компасы для определения направления; приборов и инструментов навигационных прочих, не имеющие самостоятельных группировок"
26.51.86.120;Комплектующие (запасные части) машин и приборов для испытания механических свойств материалов, не имеющие самостоятельных группировок
26.51.9;Услуги по производству оборудования для измерения, испытаний и навигации отдельные, выполняемые субподрядчиком
26.51.99;Услуги по производству оборудования для измерения, испытаний и навигации отдельные, выполняемые субподрядчиком
26.51.99.110;Услуги по производству приборов и аппаратуры для измерения или обнаружения ионизирующих излучений
26.51.99.120;Услуги по изготовлению приборов и установок радиационных диагностических отдельные, выполняемые субподрядчиком
26.51.99.130;Услуги по производству устройств, блоков и узлов электронно-физических функциональных ядерных и радиоизотопных отдельные, выполняемые субподрядчиком
26.51.99.190;Услуги по производству оборудования для измерения, испытаний и навигации отдельные прочие, выполняемые субподрядчиком
26.52;Часы всех видов
26.52.1;Часы всех видов, кроме часовых механизмов и частей
26.52.11;Часы наручные и карманные с корпусом из драгоценного металла или металла, плакированного драгоценным металлом
26.52.11.110;Часы наручные и карманные механические с корпусом из драгоценного металла или металла, плакированного драгоценным металлом
26.52.11.120;Часы наручные и карманные электронно-механические с корпусом из драгоценного металла или металла, плакированного драгоценным металлом
26.52.11.130;Часы наручные и карманные электронные с корпусом из драгоценного металла или металла, плакированного драгоценным металлом
26.52.12;Часы прочие, предназначенные для ношения на себе или с собой, включая секундомеры
26.52.12.110;Часы наручные и карманные механические прочие
26.52.12.120;Часы наручные и карманные электронно-механические прочие
26.52.12.130;Часы наручные и карманные электронные прочие
26.52.12.140;Секундомеры
26.52.13;Часы, устанавливаемые на приборных панелях, и аналогичные часы для транспортных средств
26.52.13.110;Часы, устанавливаемые на приборных панелях
26.52.13.120;Часы аналогичные для транспортных средств
26.52.14;"Часы, не предназначенные для ношения на себе или с собой, с часовым механизмом для часов, предназначенных для ношения на себе или с собой; будильники и настенные часы; часы прочие"
26.52.14.000;"Часы, не предназначенные для ношения на себе или с собой, с часовым механизмом для часов, предназначенных для ношения на себе или с собой; будильники и настенные часы; часы прочие"
26.52.2;Механизмы часовые и части часов всех видов
26.52.21;Механизмы часовые, укомплектованные и собранные для часов, предназначенных для ношения на себе или с собой
26.52.21.000;Механизмы часовые, укомплектованные и собранные для часов, предназначенных для ношения на себе или с собой
26.52.22;Механизмы часовые, укомплектованные и собранные для часов, не предназначенных для ношения на себе или с собой
26.52.22.000;Механизмы часовые, укомплектованные и собранные для часов, не предназначенных для ношения на себе или с собой
26.52.23;"Механизмы часовые, укомплектованные, несобранные или частично собранные для часов, предназначенных для ношения на себе или с собой; неукомплектованные часовые механизмы, собранные для часов, предназначенных для ношения на себе или с собой"
26.52.23.000;"Механизмы часовые, укомплектованные, несобранные или частично собранные для часов, предназначенных для ношения на себе или с собой; неукомплектованные часовые механизмы, собранные для часов, предназначенных для ношения на себе или с собой"
26.52.24;Механизмы часовые, предварительно грубо собранные для часов, предназначенных для ношения на себе или с собой
26.52.24.000;Механизмы часовые, предварительно грубо собранные для часов, предназначенных для ношения на себе или с собой
26.52.25;Механизмы часовые, укомплектованные несобранные, неукомплектованные и предварительно грубо собранные для часов, не предназначенных для ношения на себе или с собой
26.52.25.000;Механизмы часовые, укомплектованные несобранные, неукомплектованные и предварительно грубо собранные для часов, не предназначенных для ношения на себе или с собой
26.52.26;Корпуса часов всех видов и их части
26.52.26.000;Корпуса часов всех видов и их части
26.52.27;Части часов всех видов прочие
26.52.27.000;Части часов всех видов прочие
26.52.28;"Регистраторы времени, устройства записи времени, счетчики времени парковки; временные переключатели с часовым механизмом всех видов"
26.52.28.110;Регистраторы времени
26.52.28.120;Устройства записи времени
26.52.28.130;Счетчики времени парковки
26.52.28.140;Переключатели временные с часовым механизмом всех видов
26.52.9;Услуги по производству часов всех видов отдельные, выполняемые субподрядчиком
26.52.99;Услуги по производству часов всех видов отдельные, выполняемые субподрядчиком
26.52.99.000;Услуги по производству часов всех видов отдельные, выполняемые субподрядчиком
58.29.11;"Системы операционные на электронном носителе. Эта группировка включает: программное обеспечение начального уровня, обеспечивающее взаимодействие с периферийным аппаратным оборудованием, планирование заданий, распределение памяти и интерфейс пользователя по умолчанию, когда не запущено ни одной прикладной программы. Включены все операционные системы потребителей и сети
"
58.29.11.000;Системы операционные на электронном носителе
58.29.12;Обеспечение программное сетевое на электронном носителе. Эта группировка включает: программное обеспечение, используемое для интегрированного и координированного контроля, наблюдения, управления и информационного взаимодействия с операционными системами, сетями, сетевыми службами, базами данных, приложениями хранения данных и сетевыми приложениями во всей сети с централизованного местоположения. Включено все программное обеспечение управления сетью, программное обеспечение серверов, программное обеспечение системы безопасности и программное обеспечение для шифрования данных, промежуточное программное обеспечение и т.д.
58.29.12.000;Обеспечение программное сетевое на электронном носителе
58.29.13;"Обеспечение программное для администрирования баз данных на электронном носителе
Эта группировка включает: подборку/пакет программ системы программного обеспечения, предоставляющих возможность для хранения, изменения и извлечения информации из базы данных. Существует много различных типов программного обеспечения для администрирования баз данных - от небольших систем, используемых в компьютерах, до огромных систем, используемых в универсальных вычислительных машинах. Обеспечение программное для администрирования баз данных на электронном носителе
"
58.29.13.000;Обеспечение программное для администрирования баз данных на электронном носителе
58.29.14;"Средства разработки инструментальные и программное обеспечение языков программирования на электронном носителеСредства разработки инструментальные и программное обеспечение языков программирования на электронном носителе
Эта группировка включает:
- программное обеспечение, используемое как средство поддержки для разработки и/или создания компьютерных программ;
- продукты программного обеспечения для поддержки профессионального разработчика при проектировании, разработке и внедрении различных систем программного обеспечения и программных решений
"
58.29.14.000;Средства разработки инструментальные и программное обеспечение языков программирования на электронном носителе
58.29.21;"Приложения общие для повышения эффективности бизнеса и приложения для домашнего пользования, отдельно реализуемые
Эта группировка включает:
- программное обеспечение, используемое для общих целей деловой активности для улучшения продуктивности или на дому в целях развлечения, справки или образования
Включены пакеты офисных прикладных программ, таких как программы редактирования текстов, программы табличных расчетов, простые базы данных; прикладные программы работы с графикой; программное обеспечение для управления проектами, компьютерное программное обеспечение для обучения, справки, образования на дому и т.п.
"
